Zoom Meeting 
Tue. Apr 2, 2024

4:46 - Unidentified Speaker Hello. Oh, what's up?

4:47 - Craig Swanson There we go. How are you doing?

4:49 - Jim Huffman I am doing great.

4:51 - Multiple Speakers I've been really looking forward to this. Me too, man.

4:54 - Jim Huffman I, uh, I share with Jonathan and he's like, that's the most exciting zoom call I've ever watched in my life, basically. Yeah. We're, we're literally like our EOS call with its team. We're just like label every task we're doing then as a opportunity. To use AI and we're creating like a budget just to test everything, because yeah, your stuff was super inspiring. As a quick aside, did you see that tool I sent you?

5:23 - Jim Huffman The casting magic?

5:24 - Craig Swanson Yeah. Have you seen that before? I have. Actually, it's a friend of mine sent it to me. It is very similar to a tool I've been building. Well, there are a couple features it doesn't have that I wish it had that would basically mean I wouldn't have to build my tool. Right. That's what I was thinking there.

5:40 - Jim Huffman I was like, I wonder what would work or not work. But yeah, I was like, oh, there's something here.

5:45 - Unidentified Speaker Yeah.

5:47 - Craig Swanson Also, it's one of those things that kind of keeps me a little bit wary of putting too many resources into building a tool. Because I honestly think Chad GPT-5 rolls out and we're just going to wipe out a whole bunch of businesses.

6:01 - Jim Huffman Rotten, I know that's why I'm like I'm excited for these AI startups coming But I'm like are your days just numbered like enjoy the cash grab if you can but man That said I've got an idea related to education.

6:15 - Multiple Speakers So it's related to what you're doing.

6:18 - Craig Swanson Um Let's so I watched the video I've kind of got a sense of the overview do you think Do you think, if I watch that video, do you think I've got a sense of the content? Do you want to talk less about the content and more about the strategy and the opportunity? Or, yeah, like,

6:35 - Jim Huffman I'm a little bit more interested in the strategy, honestly. And let me just put this out here. There's nothing sacred with the content, the angle, the persona, it's the price, nothing is sacred. I'm very open to any thoughts and ideas. My big thing is we do EOS, we think EOS is great. There is lacking in marketing. We think there should be an EOS. Oh my God, it's lacking in marketing.

7:06 - Multiple Speakers Yeah, it's fairly good at positioning. I mean, like, at least it has positioning. Yes, for sure.

