GMOS World Domination Kick-Off Call 
Wed. Apr 3, 2024

3:41 - Craig Swanson There we go. I had to acknowledge that it's being recorded.

3:44 - Unidentified Speaker Yeah.

3:47 - Jim Huffman For the rest of our life, everything is recorded.

3:49 - Craig Swanson It is too valuable not to be.

3:52 - Unidentified Speaker Right?

3:53 - Jim Huffman Yeah.

3:55 - Multiple Speakers Well, even after what you said around, it's the data set you could use to train other things.

4:01 - Craig Swanson No. Well, I'm going to add my, do you use read IO? What do you use?

4:07 - Unidentified Speaker Yeah.

4:08 - Jim Huffman that you read AI because you, I think you told Adam Weiler who told me.

4:13 - Craig Swanson Yeah, there we go. So I don't know if you need to approve it, but there we go. I'm in now. So, so mine is in there too. No, Jim.

4:21 - Jim Huffman Awesome. I need to figure out how to do that. I think it's very simple. It's just, you like do the apps.

4:28 - Craig Swanson What is that?

4:30 - Jim Huffman Well, how did you, did you go into your apps and then?

4:33 - Multiple Speakers Oh yeah, I went into apps, Read.io was in the app and I had to paste in the meeting ID.

4:40 - Craig Swanson And then once I did that, I applied it. Sometimes you have to prove it, sometimes you don't. If you've already got Read.io, it's like literally it just knows that like, it's just gonna send it to both of us.

4:51 - Jim Huffman yeah awesome well dude I'm really fired up to do something uh with this I actually think I was thinking about I think this is a good this is the right move so I'm pretty fired up I think this could

5:09 - Craig Swanson be big. It is already passing the shower test for me, which is, it sounds dirty, it's not intended to be dirty. There is a portion of my, not a portion, there's a majority of my creative mind that I don't get to direct. I just get to influence and wish it would go focus on things. So this is basically starting to dominate my cycles that I'm not actively putting onto something else.

5:36 - Jim Huffman Mm-hmm. Mm-hmm. No, same here. It's fine. Cause like, I'm sure you and I both have a bazillion things going on where you can pick and choose, but no, this one I'm pretty, I'm pretty fired up about just cause I think it needs to exist like some sort of capacity. Well, we'll see how big it could be, but I think it could, it could be impactful. Cause it's funny even today. Here's the, here's a funny tidbit.

5:59 - Multiple Speakers I have this book traction strategically placed right here for a reason.

6:05 - Jim Huffman When I'm on a call with the lead and they're like, Oh, do you do EOS? I'm like, Oh yeah. We talked about it for five minutes and it's like, I'm qualified in their minds. Like I'm a part of the EOS cult and all of them are like, yeah, it's great except for marketing.

6:21 - Craig Swanson I mean, this could be big. So I did, try to thought, I, you know what, have I ever given you the, so have I done the, that framework that I talked about, the Atlas? No, tell me, I'm curious, yeah.

6:45 - Multiple Speakers Okay.

