Zoom Meeting 
Wed. May 1, 2024

0:08 - Craig Swanson Okay.

7:56 - Jim Huffman Hey Craig, what's going on?

7:57 - Craig Swanson I don't even know how to answer that.

8:02 - Multiple Speakers What time zone are you in right now? You know, I think I'm kind of back in the Seattle time zone.

8:07 - Craig Swanson I mean, I've been back since Friday and I used a jet lag app and some supplements that actually kind of worked great.

8:17 - Jim Huffman Really? I don't even know about that. That's awesome. How was the trip?

8:22 - Craig Swanson You know, I got so much going on right now. So here's the thing, it was amazing. I would like to go back to Singapore sometime and see it. I literally like flew in and flew out the day before and the day after the event. So I didn't like have any downtime to do anything else. So most of my experience in Singapore was just kind of like walking around or doing some of the dinners.

8:50 - Jim Huffman Yeah, that sounds awesome, though. I still think that's a cool way to experience Singapore, right? Like, was it, did you connect with a lot of people you didn't know through Seattle? Or is it more of like, let's go deeper with some of the Seattle people or a little bit of everything? Both.

9:06 - Craig Swanson So I am incoming learning chair.

9:10 - Unidentified Speaker Nice.

9:11 - Jim Huffman Wait, you're not the current learning chair?

9:14 - Multiple Speakers You're incoming learning chair?

9:16 - Craig Swanson I am the current accelerator chair who kind of elbowed my way into learning and just kind of like invented a whole new job description that makes it look like I'm unlearning.

9:31 - Jim Huffman Well, I'm excited because I feel like you are very curious in ways that I'm curious, so that's awesome.

9:38 - Craig Swanson And, I mean, honestly, I think if you've got the capacity, and I don't really understand your capacity because you seem to be doing a lot of stuff, but you would be fantastic on the board. And especially if you've got an opening in your life from tech stars. Like this might be a, I really signed up for it. Like I really leaned into it. It's my entrepreneur in residence role. It's the thing that like, you know, keeps me relevant and gives me a role when I am like not necessarily burning things up with a particular company.

10:12 - Jim Huffman Yeah, that no, I'm very intrigued. I am getting out of sales slowly, which is huge. I'm trying, honestly, like growth, it's been horrible at top of funnel marketing, mainly because we haven't done anything. And that's where my head is going. We're pretty good at bottom and mid and it's top of funnel, but that's a long winded way. I'm intrigued. I just, I worry about being able to do it really well.

10:37 - Jim Huffman But, but yeah. Yeah.

10:40 - Craig Swanson Well, let's talk about, yeah, I mean, let's talk about like, so I email, so like, you know, first of all, let's just talk about like what you sent out. You sent out a ton of emails, right?

10:55 - Jim Huffman Yeah, I sent an email to the, like, I have 1,000 people on Gumroad that have bought my book before. So, I sent an email to them. And then I sent an email to my email list. And, yeah, it's pretty crooked. It's one, like, my email, like, it's, I'm, like, so angry right now. Our open rate used to be an average of, like, to 30%, it's now at 11, because we're getting market span, it's deliverability, and it was nine, it's going up.

11:25 - Jim Huffman But anyway, I don't think that helped the cause, but regardless, it's funny, there's just as many sales from the one that's on Gumroad as there are people that filled out the survey, because we got more sales. I'm like, fill out the, I didn't ask you to buy, it's like, fill out the survey, but it was pretty direct. So anyway, yeah, that's kind of what happened.

11:47 - Craig Swanson So how many sales have you had on Gumroad?

11:49 - Jim Huffman About 15, yeah, like 10 to 15. OK.

