Jim Huffman: Meet with Craig (Zoom) 
Mon. Jun 3, 2024

0:37 - Jim Huffman Hey, yo, how you doing?

0:39 - Craig Swanson Good. How are you doing?

0:41 - Jim Huffman Good, good. How are you feeling?

0:43 - Craig Swanson I am feeling, I'm feeling really good. I don't think it was COVID, I think, but whatever it was, I think I just needed the time down because I'm feeling so much better this week.

0:57 - Jim Huffman Yeah, well, that's awesome, man.

1:00 - Jim Huffman There's nothing worse than being sick. Sometimes, I don't know if it's good or bad to be sick on the weekends, but at least it doesn't impact business, I guess.

1:10 - Craig Swanson Well, this was an away weekend for Pepper and Melody, so it was a good time for me to just be on my own.

1:17 - Jim Huffman Oh man, I'm not going to lie, that sounds kind of awesome. If you could actually watch a movie or something. I haven't done that in a while.

1:26 - Jim Huffman Oh, that's awesome. Well, how's your world man? How are things?

1:30 - Craig Swanson I mean, things are, things are great. I mean, like, like life is great. Um, the whole world of AI is just like this constantly moving target, which I'm still like grappling with. Um, um, But continuing to like plug away and like keep working on stuff. How about you? How is growth hits? Like how is the economy from your perspective? It's so interesting.

1:55 - Jim Huffman It's like we like we've had our best year ever. We've had like six figure profit months, which is like a huge deal for us. However, the last like It's like a perfect storm of, I've been, I was kind of like riding high, like, there's this quote where you're never more prone to make a dumb mistake than after a great success because you're like, oh, I'm doing amazing. And so. I've like stepped back from sales and then all of a sudden our close rate fell off a cliff. And I'm like, oh, that that was a problem. So I'm kind of coming back in a little bit, figuring that out and just growing pains, which it's like, do we want to go to this next level of growth and more people or should we just like stay where we're at? But it's it's good, but it's I would say like the first four months, I'm like the economy's booming right now. It's kind of middle of the road. I definitely see founders being very price sensitive and business owners very price sensitive.

3:02 - Craig Swanson How about Neat? By the way, Neat shirts, I'm a huge fan.

3:08 - Jim Huffman Really? They perform? Yeah, they fit well.

3:11 - Craig Swanson Yeah, no, they were great. They were great.

3:13 - Jim Huffman That's awesome, man. It's awesome. We took the ads live, and I was giving it 90 days to see a ROAS of over three. We saw it almost immediately. We had one like banger of an ad where we did a demo of the product that sold 90 units that had a ROAS of over 3.5. So I'm just like, this is amazing. I thought it was going to be a little more painful. But we're sold out of basically all the core sizes. We're not going to get new sizes till September. We have to switch manufacturers. It's like it's peak season. We should be like slinging shirts left and right, and we're just twiddling our thumbs. So that's a little painful.

3:56 - Craig Swanson So I was thinking about that, just like if you have something huge, like you can't follow up on it easily because you have like supply chains and all this other stuff.

