Zoom Meeting 
Wed. Jun 19, 2024

0:56 - Unidentified Speaker Now you.

2:34 - Jim Huffman Craig, what's up? Hey, how are you doing, sir? Yeah, this is the meeting I've been looking forward to. How are you doing? Congrats on graduation. Thank you.

2:44 - Craig Swanson Yeah, he's launched. I guess we get to see what happens next. Yeah, let's see the ROI on all this parenting.

2:55 - Jim Huffman thing, right? Where, let's see the- I wouldn't mind that.

2:58 - Jim Huffman I wouldn't mind having the, what's the equivalent of a sugar, so you got a sugar daddy, a sugar mama, what's a sugar son? That feels a little bit wrong. Right? Yeah.

3:06 - Jim Huffman Can they like become an influencer or an athlete or make a unicorn so you can like fly private or something? Yeah. That would be great.

3:15 - Craig Swanson That would be great.

3:19 - Jim Huffman What a win. What a win. Nice, man. Well, cool. Well, so you got back today or yesterday? Got back yesterday.

3:30 - Craig Swanson Got back yesterday. So I'm kind of, yeah, I'm resettling in and getting everything else figured out. Yeah. And I'm working on EO stuff. So I actually want to like, we're going to see where this goes. I think what we're going to cover is also going to cover your talk for EO at the same time. So I think I'm going to get a twofer in this one. Oh, perfect.

3:49 - Unidentified Speaker Perfect.

3:49 - Jim Huffman Well, I set a little bit of an agenda.

3:53 - Craig Swanson I'll pull up for a second.

3:57 - Jim Huffman I've been doing a bunch of, so anyway, I have, I'm ready to make both courses. I'll show you the work that I've done. I mean, I'm gonna do it anyway. So I'm just putting that out there. I love the Sue Bryce funnel you made. I even sent it to Jonathan, I was like, we should just make this a service, like what you did. So if you want to spin up an agency and as a Don in my forum, Adam calls it if you want to make dirty money, come to the service side, because I won't disclose the financials, but we were showing P&L and he was showing his tech income and then his service income. And he's like, of course, we call it dirty money. And Adam and I were very offended because I made dirty money. But anyway, long winded way of like your funnel that anyway, if you want to make lower margin money, you should sell that. So I actually I think there might be something there.

4:56 - Craig Swanson There might be something there. And I don't know, I would not be opposed to some dirty money either, because it's funny, like you showed that we kind of do that for clients because we run ads, we stand up.

5:10 - Jim Huffman with some lead magnets, but like yours were just really like almost formulaic, but in a beautiful way that that was really nice. So anyway, actually, you know what?

5:22 - Craig Swanson I mean, keep going, because actually, because you do do this, you do do this.

