Zoom Meeting 
Tue, Jul 30, 2024

0:03 - Craig Swanson Boom Hello, sir.

2:56 - Jim Huffman What's up? How's the trip?

2:58 - Craig Swanson So great. I mean, I mean, it's nothing fancy. Just, you know, beach house, beach house, beach and and, you know, family. But man, that is like everything for me.

3:14 - Jim Huffman That's good for you. And I think the Oregon Coast, that area is such a special place. I'm such a huge fan of it. So that's cool. How are your tide tracking? Your calendar looks very busy with monitoring the tides.

3:28 - Craig Swanson It was great. It was great. It was booked out. So I had two calls.

3:33 - Craig Swanson I allowed two calls to slip through. They were both EO calls. But other than that, and I kind of had this like lingering sense of dread that there were things I needed to be working on that I wasn't quite able to expunge.

3:46 - Jim Huffman Yeah. Yeah. Good for you, though. I mean, calendar zero, that's the goal. And you lived the goal. You failed. You're now in a meeting. But good for you. You had the goal.

3:55 - Jim Huffman Oh, no, no. I'm done. I'm done. I'm back.

3:57 - Jim Huffman OK.

4:00 - Craig Swanson Um, well, I, I did say I did my auto reply. So I wasn't gonna be back until the first, but, um, that was just to give me Monday and Tuesday to like, you know, dig my through a three email. So my, I've got 18 emails in my inbox that haven't been processed yet. So I'm like getting close to surface.

4:16 - Jim Huffman Yeah. Oh, that's awesome. Well, we'll get for you, man. Um, that's very cool. I'm going away in like two weeks for like five days. We'll see. It is just freaking crazy right now. I mean, when isn't crazy. Um, But it's, um, man, you know, a lot going on, but I'm, I'm excited to chat with you, man. Um, this stuff gives me a lot of energy because I don't have to get on zoom calls with clients and sell the dream and, oh my gosh, just service-based business. What a, what, what a ride.

4:45 - Unidentified Speaker Yeah.

4:46 - Craig Swanson I mean, well, I don't know, like service-based business or a lot of, there's a lot of pros to it. I mean, it is certainly, there's certainly pros to a physical, wow. Yeah. I mean, there's always a green, there's always a green lawn to look at.

5:01 - Jim Huffman There's times where I'm like the agency business models, the best, why would I ever do anything different? And then there's days where I was like, I'm like, burn it down. I'm like, I'm ready to burn it down.

5:11 - Unidentified Speaker Yeah.

5:12 - Craig Swanson How, how are the, how are the t-shirts doing?

5:15 - Jim Huffman They're actually going really well. We just we're on all pre-orders right now, and we just hit a four row as And I'll tell you the big thing that's working is We read merchandise the website and nice Yeah, so it's all around like, we have new colors, new colors, new styles. Get your new kit. But by re-merchandizing a website or AOVs going back up, I'm seeing orders of like in, 150 but look what we're doing. Because this is the big experiment right now. We'll pre-order So we're like, hey, pre-order, warning, this will sell out again. You know, these shirts are hotter than your ex's DMs after a breakup. Thank you, fuck Jerry, chat GPT prompt. And then this is, check out the cart where, let me go, there it is. Like free shipping, free shirt at this, and it's kind of working. And so what's cool is we just did a pre-order of $50,000 and we're starting to sell through that. So we could then do another order of maybe $100,000. But we're talking to Wayflyer to see if we get a loan to increase the inventory buys, because the ads are working. But we'll see, man.

6:34 - Craig Swanson I like that. So what's your net profit margin? I will show you.

6:47 - Craig Swanson Because I'm just thinking like, so, cause there is this kind of bootstrap thing you described. It would, it would not handle nonlinear growth, but it certainly handle, it would handle. Exactly.

6:58 - Jim Huffman So basically our shirts, we can hopefully get this down eventually, but once it's all landed and everything we're estimating like $12 and 50 cents, ideally this will come down eventually, but then we can sell them for like $44 a shirt. The new polo we're going to sell for 64. Um, so yeah, so you kind of get a feel for the wait a second.

7:19 - Craig Swanson Wait a second. Okay, so All right. So at 44 I'm just going to do some really quick math here. So at 44 Let's call it 14 because or let's let's go. Okay, so 12.

7:29 - Craig Swanson So basically 30 bucks over 30 bucks.

7:31 - Craig Swanson So 30 30 buck contribution to the bottom line and You are getting You said you're getting row as a four which means that you're getting a cost of conversion of around 10. Is that right? Well, so what's- Oh, no, no, because you're doing multiples and all that.

7:51 - Jim Huffman The bundles are what's making the business model work, right? Selling the bundles like 120 bucks on average. So yeah, we're making and then, 120 you know, spending what, 30? It's, yeah, 26 right now is the cost per acquisition, basically.

8:08 - Craig Swanson Okay. So, Like over the last month, over the last month, do you have any sense of what your after ad spend? So what I'd be looking at, I'd be looking at how much cash do you have after ad spend and after cost of goods sold?

8:27 - Jim Huffman Yeah. Yeah. The good thing is our costs are so minimal that that's really the core of it. So I need to get the exact number but like on average so 120 minus what three shirts? 36 minus we even 30 so it's like what we're $50 making after all of this 40 to $50 profit or gross margin, so how much How much per week like like what in the last week How can you can

9:00 - Craig Swanson you easily pull that up?

9:04 - Jim Huffman Absolutely Do you mind that we're going here instead of like the because actually honestly, I think there's a course in here I mean, I think yeah So, you know, you know, it's basically like 500 to $1,000 day is, is

9:21 - Jim Huffman what we're doing. So we'll do last seven days.

9:24 - Craig Swanson Let's do last week. Let's do last week. He'll give a little, okay. You're doing just, you're just showing me Shopify. Okay. So does that mean the five thou effectively $5,000 the last seven days?

9:35 - Jim Huffman Yeah.

9:36 - Jim Huffman Okay.

9:38 - Jim Huffman And this is where we're spending like $70 a day on ads. And it's gone up to like a hundred dollars a day on ads.

9:45 - Craig Swanson Oh, okay. So even though you're giving me your cost of sale, you're getting a lot that's not sales. You're getting a lot of like you, what percentage of your sales are attached to Facebook or to ads?

9:59 - Jim Huffman I mean, yeah, that's the only, we do have some like core, uh, blog posts, but that is the number one driver.

10:05 - Jim Huffman I mean, the The only thing I'm seeing here is you said it was a 4.0 ROAS, but if you have $5,000 coming in and you've only spent whatever 70 times 7 is, that's not adding up.

10:20 - Jim Huffman Yeah, so like 700 times 4. You're saying it should be 3. I didn't hear 700. I heard 70.

10:23 - Jim Huffman Yeah, so we're spending between $70 to $100 per day.

10:35 - Jim Huffman Oh, okay.

10:37 - Craig Swanson Oh, so it was it still it really was that low. Okay, so 700 so okay, so that's a lot more than a 4-0 row as or Your source is not coming from Facebook ads or a majority of purchases We are so we have email that's working a little bit.

10:55 - Jim Huffman We're not as aggressive with her right now and then we have a our blog that does a decent job. So those are the other two things. I'm even kind of getting in so you can see, we'll go last seven days. Okay, so 700, we can even look at ads that worked if you want. I don't know if this is helpful. So look at the bear. Let's look at breakdown by Enter video to see what's driving the volume, if this is helpful.

11:41 - Jim Huffman So, oh, wow. Oh, yeah. So it's, oh, wow, that one's popping out more. Yeah, so the cost per, you can kind of see, it's kind of me doing the water balloon test and then there's different variations.

11:57 - Jim Huffman So, yeah.

12:03 - Jim Huffman But anyway, that's a little bit of like what's going on and we're testing it like this undershirt campaign. And there's a decent amount of stuff going on.

12:13 - Craig Swanson How long, how long before they get their shirt? Like if I ordered today, how long, how long until I get it?

12:19 - Craig Swanson Oh, that's like that. My wife is like a gym. I can't believe you're doing this. So look at this mid October.

12:27 - Craig Swanson That's not bad. Do you try? Well, here's the thing. Well, okay, it is a long time. It's a very long time. So how long from the time you order it do they get it? Is the order that I'd get in mid-October already in progress?

12:43 - Jim Huffman It's already in progress. The problem is we've had to do some things with our manufacturer. Our next order will be faster. But yeah, we've already ordered $50,000 worth of product to land late September where they're going to hopefully it'll ship by October.

13:03 - Jim Huffman But here's the thing, if pre-orders are working like this, and we sell through all that, we're like, oh, we need to put in another order. The big thing for our business model, if we can prove pre-orders by creating so much scarcity and urgency, that gets really exciting from a cash management perspective, to get the money before we get the product.

13:24 - Craig Swanson Exactly, and if I order today, do you charge my credit card today?

13:27 - Jim Huffman Mm-hmm, absolutely.

13:29 - Craig Swanson I think, I was under the impression that there were different rules in different parts of the world in terms of like, whether you could do that or not, I would still do it and be like, I would totally do it. And then be told I can't. Yeah.

13:43 - Jim Huffman Yeah. Do you have any, do you have any mechanism?

13:47 - Craig Swanson Do you have any mechanism to do an email capture for me at this stage? When I want to be like, if I don't want to order, but I won't be told when it's available.

13:56 - Jim Huffman Yeah, we don't have like the full wait list and everything, and we just have the pre-order. But no, you're exactly right, because we could be losing out. Because if you look at, our add to cart should be higher. It's OK right now. It's five, but then only like basically 2%. So there is like a 3% drop off, essentially.

14:15 - Craig Swanson Can you take me back? Take me back to the Facebook ad. Show me the full Facebook ad reporting. And I just want to see, I want to see the ROAS.

14:26 - Jim Huffman Gotcha, they're not having in this view. Okay, let me custom columns.

14:39 - Jim Huffman Is there one, let's see if it goes to performance. We have ROAS, I need to add it in.

14:44 - Craig Swanson I mean, honestly, what I wanna see is I wanna see the amount you spent and then the cash received. Like that's really what I'm looking for. I mean, I don't actually care about the ROAS number itself.

14:54 - Jim Huffman Oh, gotcha. Okay. Yeah. So let's see if we get total costs and then revenue.

15:00 - Craig Swanson So 700, and then- Okay. So I can see a little bit here, amount spent 700, then you've got cost per result. Do you have the revenue?

15:11 - Jim Huffman It's not pulling in. This view doesn't have, we have like a preloaded, I have to recreate. Um man this has changed since i've done oh sale so let's try that um oh wait no why is this so hard right now oh this is so sad how antiquated I am at this now We should be able to just pull. Can I just customize the columns and add it?

15:53 - Jim Huffman Yeah, you can. Well, at least you used to.

15:56 - Jim Huffman Oh, there it is. Customize. Beautiful.

16:03 - Jim Huffman Purchase ROAS. Let's see if we pull it. Is it sales or what's it called? Revenue? Let's see.

16:19 - Jim Huffman Cost per result, ROAS. Let's just go conversions.

16:28 - Jim Huffman Purchases. Total. We'll put value. We'll put cost per purchase. That might already be there. ROAS. OK. Let's just see what this does.

16:44 - Craig Swanson I mean, it doesn't matter if you have in-app selected, because if you've got no in-app, it won't really show anything. I guess it will, yeah. So we'll take a column.

16:54 - Jim Huffman It'S all coming back to me now, doing this. Then we'll put cost per purchase right there just for fun. We'll see what happens. All right, okay, let's see. Purchase value, so we spent 700, made 24. So it's 242 divided by 700, 3.5 ROAS, basically. Now, what level do you trust that at? So, I mean, so like, you know, yeah, what level do you trust that at?

17:29 - Jim Huffman Yeah, I mean, they have their own bias. So, I mean, 75%.

17:34 - Craig Swanson But I know, like, can you can you track it to the order using UTMs or something else like that on Shopify?

17:46 - Jim Huffman We do. Let's see, because we do have some new teams.

17:54 - Jim Huffman I might even go into GA to look at some stuff. I'd have our technical team get into that.

17:59 - Craig Swanson I just want to share where my thought process is. Notice the qualifier is, the first question I ask is, how much can you trust it? Because I need to know I can trust it for what my next step is.

18:15 - Craig Swanson Yes.

18:16 - Craig Swanson What I use, so every, so I use a UTM. My UTM of source is Facebook ad for everything that I do that is a Facebook ad or Instagram ad conversion. So basically what I'm looking for is I'm looking for only purchases that on the last click attribution are using, that have the UTM of Facebook ad for me. So I'll just start with that. Which I think you could probably do, and I have basically a special report for that. So because what I want to do is I basically want to use that number instead of Facebook's number.

18:51 - Jim Huffman Gotcha. Yeah, yeah.

18:52 - Unidentified Speaker Okay.

18:54 - Craig Swanson Then in my case, I'd want to actually know that math. It looks to me from what you've told me about the cost of good and everything else, you are well under the cost of goods sold in terms of like that you have change sitting in your bank account, and it is going to cost you less than that to fulfill that order.

19:14 - Craig Swanson Correct. Yeah.

19:16 - Craig Swanson Okay. So my question is why Why $700 a month? Why not $7,000 a month?

19:26 - Jim Huffman Yeah. I mean, that's, that's kind of, this is all kind of new that it just went to a four row as tomorrow. We're talking about like how aggressive we want to put our foot on the gas to start raising it by like 10% per day. But yeah, that's yeah. That's the thing. We got to figure that out. Cause we were a little nervous. We're kind of waiting for a customer service because people didn't know this was pre-order. And so we literally had to put it in the title and that was about it.

19:56 - Jim Huffman So you might not be looking at, you might not be looking at results that are with this promise.

20:02 - Jim Huffman Um, correct. However, we're like, so far we've, we've, and we have a whole email series. It's like, thank you for your pre-order for your product that comes in October. Just trying to be very clear. Um, but, um, we're starting to see signals that it's kind of working.

20:18 - Craig Swanson Um, I want a little bit more data from my standpoint, if the money is in the bank, if the money is in the bank. And I would have it in a, like I'd have it in a special account. I would probably, like I'd probably have it in a, I use Relay for my, well you've seen, I use Relay for my bank. I'd probably have a special account, which is my pre-order checking account. I would not, I would basically try to like manage my money so I'm well, so I'm above what it takes to fulfill the promises I've made in that account. I would be very liberal with guarantee use. Yeah. Or your money back guarantee. Because until we've actually shipped them something, they've given me their money. It's kind of sitting in there. I might play with adding guarantee language. I might play with, does that help or hurt my conversions? I would definitely need to make sure that we are answering customer service calls and all that.

21:15 - Jim Huffman Yeah.

21:16 - Craig Swanson But with all that, it might feel a little bit freaky, but I would not like, I would kind of like inch up to it, but I would, I would not mind if I had a hundred thousand dollars in pre-order setting in that account.

21:30 - Jim Huffman Yeah. I mean, a hundred percent because it's all about like, Oh, we don't even have to take a loan out if we're able to use the cash from customers to fund the product.

21:41 - Craig Swanson And you, and you can use that cash also to run Facebook ads.

21:44 - Jim Huffman Yeah. Yeah. The only, the worst case scenario is if all of a sudden everyone's like, Hey, bamboozled, this is pre-order you, you tricked me.

21:52 - Craig Swanson And then they all, which is, which is why you have to really quick and responsive customer service for guarantees. Like make sure all the language. And it's also like, I would definitely be sneaking up to that. Like, like when you said that the, this wording is not what you've been getting conversions on. I might wait a little bit. Like, you know, the thing is you don't want to, you don't want to trash your reputation.

22:13 - Unidentified Speaker Mm-hmm.

22:15 - Craig Swanson Um, yeah, anyway, I, I, but excited here. Let me, uh, I mean, let me, let me, let me share mine.

22:25 - Unidentified Speaker Yeah.

22:25 - Craig Swanson Um, cause we are actually, okay. So let's, let's, I'm just going to share my desktop. Let's let's first of all, let's talk about just kind of where we are. Um, so.

22:37 - Craig Swanson the event right page for the EO event, which I think, I think there's an opportunity for us here to shift over and to start selling this thing, which is really tangible as a learning experience to like figure out what sells and what doesn't.

22:50 - Craig Swanson Yeah.

22:52 - Craig Swanson Um, I go to ads manager. I don't know if you've looked at it. Basically we, so we have spent about a hundred bucks. Actually, I haven't even looked. Well, it's going to be to verify, and I don't want to go through verification. But I assume that we've had withdrawals from the account, and we've spent $100.

23:11 - Craig Swanson We've had 16 outbound links from that.

23:17 - Craig Swanson And then I was looking at it in Klaviyo. Assuming you don't know any of these people, I do not know.

23:25 - Jim Huffman Okay.

23:26 - Craig Swanson One, two, three, four, five, six. We've had six people that have gone through and got on the email list.

23:32 - Jim Huffman Okay. So in California and Michigan, big deal.

23:37 - Unidentified Speaker Yep.

23:38 - Craig Swanson What'd you say? Big deal.

23:40 - Jim Huffman Yeah. We got two in Michigan, Colorado. There we go.

23:44 - Craig Swanson You're huge.

23:46 - Craig Swanson So I mean, based on those numbers, like we're getting it was about 12. So, so let's say it's 100 and we got six. So it's about like 18, 17, $18 per email, which, um, might be within the, I mean, you know, honestly, there's, there's no reason that you couldn't do a followup with these people for, um, you know, for, for, for growth yet. Um, yeah.

24:12 - Craig Swanson 18 is probably too much of a conversion for us to really lean into anything for selling digital goods quite yet.

24:19 - Craig Swanson Yeah.

24:20 - Craig Swanson But I mean, it's super lower than the numbers you were giving me for leads, whether they're qualified.

24:27 - Craig Swanson Oh, yeah, paying $150 for a Calendly. Yeah, yeah.

24:30 - Craig Swanson But we have no idea who these people are.

24:32 - Jim Huffman Yeah.

24:35 - Jim Huffman It's like, are they junior marketers or unemployed people or do they run marketing for a business? Yeah. And then we, on an individual basis, we can look.

24:46 - Craig Swanson All right. So, so this person doesn't look, Oh, Oh, am I not sending them? So here's what I'm seeing. They subscribed and they subscribed to email marketing.

24:58 - Jim Huffman Um, they're not getting the flow.

25:01 - Craig Swanson They didn't get the flow. Is the flow live?

25:04 - Jim Huffman Two delivered. Wonder if that was, it says it's live. Is there some weird with the trigger?

25:14 - Craig Swanson Oh, okay. Okay. Here's something for me to fix. Here's something for me to fix. Um, the trigger and I actually ran into this elsewhere. The trigger is, is based on when they submit the form.

25:31 - Craig Swanson Um, and If they have certain, like that's a script. And so it looks like, let me just open up a couple more of these.

25:45 - Craig Swanson You'll notice none of these say anything about the form.

25:49 - Craig Swanson form submitted. So it's just different types of intelligence. So we know that they subscribe because they're in the list, but apparently like that JavaScript wasn't firing, isn't firing on a bunch of people. So it's probably being blocked by stuff. And so I was trying to use the form submission and what I really need to do is I need to switch it over to use the list that's being added to. Yeah. But you can see this person, for example, uh, Ron Martin at, uh, I can manually email these people.

26:20 - Unidentified Speaker Yeah.

26:21 - Craig Swanson Um, you know what? I will, uh, we can, I can also just basically when I get a new form, I can do it.

26:27 - Jim Huffman Okay, cool.

26:28 - Craig Swanson Um, just looking at who these people are. So he received the email and then he clicked the link. So that's what, that's what he's supposed to experience.

26:37 - Jim Huffman Yeah.

26:39 - Craig Swanson Okay, cool. Um, so if we're hunting for something that we can scale on, Let's take a look at what the ad performance is.

26:52 - Jim Huffman Yeah, because one thing that I wanted to talk with you about is I want to feed the creative beast. So one thing I was thinking through as we go through this, getting more creative.

27:05 - Jim Huffman Yep.

27:07 - Craig Swanson Let's take a look at the images for the creative.

27:14 - Jim Huffman Yeah, I was looking for the video and let's see, what's that one?

27:20 - Craig Swanson I don't know. So when it doesn't show me, when it doesn't show me the numbers in here, I use the amount spent as my proxy.

27:28 - Jim Huffman Okay, yeah, so that one.

27:33 - Craig Swanson So these are the top two over here.

27:38 - Jim Huffman And then yeah, the next one it looks like the video one. What's that? 34 had the most spend and I think is that the video that's the video with text where we don't we don't even say blocking growth we say the sold-out playbook I Think actually there's maybe nothing.

27:56 - Craig Swanson You know what? Oh, there you go. There it is.

27:58 - Jim Huffman Yep And that's such a bad video, but it's funny, but I think it's, it's native. So I think that's probably why it does better. I could recreate that so much.

28:14 - Craig Swanson So.

28:18 - Craig Swanson So I think we're hunting for the creative. I don't see the click-through being strong enough that I really think we need to worry about what the offer is on the page. So I think we need to work on the creative here first.

28:32 - Jim Huffman Agreed. And the other thing I'm thinking through is doing more experiments around the sold-out playbook, more around this idea of what's blocking growth. I worry that growth marketing operating system is selling features and not solving a problem. So it could be creative around those two things and then seeing which path we go down. All right.

29:02 - Craig Swanson So let me throw out a thought here. Let me throw out a thought. And I think this still is all in alignment. But the other thing I was thinking is, So regardless, OK, so let's start with this. Regardless, right now we're not hitting creative that I think is getting us the type of clicks we need to be able to start focusing on other parts of the funnel. And I think you are in agreement on that.

29:27 - Craig Swanson Agreed, yeah.

29:28 - Unidentified Speaker OK.

29:28 - Craig Swanson So.

29:32 - Craig Swanson I look at the Eventbrite page for growth marketing because, and this, this just went live. So it's not something that like, basically this is, this is the same content that is in the EO hub. And this is basically to attract people to that event that are not yet members of EO.

29:49 - Unidentified Speaker Gotcha.

29:50 - Jim Huffman Yeah.

29:52 - Craig Swanson If there was creative that could drive people either to this landing page or we could basically push people to after they get the download.

30:01 - Craig Swanson This is actually selling something that is very much in alignment with what we're doing. It would be helpful for EO and it'd be helpful for your event.

30:14 - Craig Swanson This feels Enough in alignment with everything else that we're not like twisting ourself in a pretzel to be able to make the justification But what do you think? Yeah, so basically we like try and get them with the content upgrade then redirect them here I would say one or two either redirect So I would probably put the content upgrade and then also maybe just do one or it just drops them right here Yeah, for sure.

30:35 - Jim Huffman And we would want to focus specifically on like Seattle, Pacific Northwest for this.

30:40 - Craig Swanson Yep. Yep. Gotcha. Yeah. And let's take a look here in terms of like the behavior. So we've got broad Seattle leads. We've got broad U.S. Leads.

30:51 - Jim Huffman So four and twelve. Right.

30:52 - Unidentified Speaker Yeah.

30:54 - Craig Swanson And I mean, you can definitely see we have spent this. Oh, interesting.

31:01 - Craig Swanson So my guess is Seattle is the more expensive market because we've effectively spent the same amount of money on both and got three times or three times the, uh, the click throughs rod versus Seattle.

31:16 - Jim Huffman Yeah, that makes total sense.

31:19 - Craig Swanson But, um, We've got, you know, we've got money to spend. I mean, like not spend foolishly, but we, you know, we spent a hundred bucks on these experiments. We can spend more. The other thing I was also thinking about this, I mean, like I said, These are relatively small, but, um, I could even, I could even bill back the EO Seattle for any, for any stuff we have that goes directly to that thing. I mean, I mean, within, within reason, but a couple hundred bucks, a couple hundred bucks of Seattle ad spend to promote the up event yeah probably couple hundred bucks doesn't matter all that much they're the ones making the money off of this right exactly mm-hmm yeah no I think that that makes sense it builds the awareness for you yeah so the question is from a creative standpoint the two places that we are driving them to would either be this or that, or some variation on that. Potentially it could even be like, yeah.

32:36 - Craig Swanson So what do you think you'd do creative-wise to drive one of the two of those things?

32:40 - Jim Huffman Yeah, I'm thinking like... There's this one type of image where you could like scroll through the whole deck that I'm going to present. And you do it really fast. And it talks about everything they're going to get from this. That's one. I'm thinking of one that's like a sizzle reel of like me talking a bunch. I'm thinking of statics. Speaking to like the transformation of it. I'm thinking through Native ones maybe that I could try and record Yeah I'm also thinking like what's realistic and fast as opposed to starting from scratch Things that I can already leverage. So I'm just kind of thinking out loud right now on the few different options Because We do have some, I don't know if those will work. And candidly, we're changing how we make ads at GrowthHead to work in Canva as opposed to Figma and then using a bunch of different stuff for video to be more scalable. We've made like 20 templates. We're trying to make like 200 templates of ads. It's not done yet, but that's something that could be leveraged once we have that ready.

33:56 - Jim Huffman But I don't know if that makes sense. Canva, I mean, you know, I don't think it was a place to do ads for video, but it totally works for ads for video.

34:05 - Jim Huffman Oh, my gosh. It's yeah. And it's just so much faster. So we don't have to do a script and a storyboard handed to the video editor to do it. It's like, oh, my gosh.

34:15 - Craig Swanson I mean, I'll tell you one thing, like the classic thing that I would do would be just you just in your environment right there, just recording a 45 second pitch.

34:26 - Jim Huffman Okay. Any thoughts on the script of that?

34:31 - Craig Swanson Um, I could, I could write a script for you. I mean, I mean, I combined with like our previous conversations and AI could write a script for you and it would basically be, I mean, my, my, my thinking is, It would be for this. So it'd be a script for this.

34:49 - Jim Huffman Yeah.

