"Quick question, why did you originally sign up for *Content Curator*? ",And did *Content Curator* help with the reason you initial signed up?,I'm glad it helped! Can you describe how *Content Curator* helped?,"Last Question: What changes could make *Content Curator* work better for you, or for future participants?","*Bonus Brainstorm:* If we renamed this course, what's an idea for a name that you think best matches what you got out of this?"
"help me and advise me how to create content and maybe even what technology, platform, etc to ise",a little bit,,"It seems the course was not really tailored what I thought it would be, actually seemed more for Speakers and I have not really watched the last 2 weeks because of it. Sue is overall inspiring and defenetly good in Sales.",I think this course is sold under different names - so maybe find an umbrella for all of them.
"To determine how I want to grow and advance my career, looking for clarity and direction","fdaf has helped, but feeling overwhelmed",,"Love the direction and inspiration Sue gives! Feel myself getting overwhelmed and behind class easily.  Personally, I would benefit from more precise direction and feedback.  Breaking things down into smaller actions.",Design Your Path
"Because I trust Sue Bryce to propel me forward in moving towards the goal of
Authority in the area",Have not watched a single video yet,,I will watch it and let you know,
Gain insights into how to tell better stories and connect with my audience. To develop and refine my own unique style by learning different techniques so that I can stand out from the rest. Learn the technical aspects of getting it executed. Equipment and positioning.  I was surprised to hear that 28 days was such a simple production with such resounding success. Makes me feel that its attainable.,Helped partially. I am still working through the downloads,,Digging deeper into different curation techniques and styles. More bts on the setup and execution of making the videos. More pullbacks even with this workshop to see how its done.,Curation Mastery: Elevating Your Brand's Storytelling Game
"Find clarity in WHAT I should be creating; learn HOW to create content (actual steps, like where to host, how to build, how to set up website/store to sell it)","Helped with finding WHAT i should create, but not with how to actually build and launch...not enough detail for the logistics part of the equation",,"Either make it clear in the product description that it does not include step by step instruction on where to build/host course (or podcast, or templates etc) and how to actually sell it on website or elsewhere, or include those in the course. But also, since signing up for the initial beta course I have actually mastered this myself (and can teach it!) so it's not really relevant to me anymore...just something I think many participants would benefit from.",naming the baby is definitely not my strongest skill :)
To help me understand if and how can I make a passive income from my business,I am still working through the course. I think it should help eventually!,,I can't answer that question yet because I'm still working through the course,"I thought that there should be other name to be honest. Something that reflects all the possibilities. ""Content curator"" is not that inclusive. But there's nothing I could think of quickly"
Any time I have engaged in interaction with Sue has been very positive.,"I did sign up and intended to view each episode as it became available; however, due to family health issues, I have not yet been able to view any episodes. I will be playing catch up.",,"Do not have any recommendations, see above.",
"I am an educator and I wanted the tools and information to enable me to take my knowledge and get a step by step guide on how to record, edit, upload, test, market, and sell my product(s). I don’t know what apps are the right ones which equipment to get as for now I have limited resources and have to DIY everything","I find clarity and motivation for sure but I still feel very much stuck as when I started without knowing what equipment to buy, how to DIY things because that’s where I’m at with the resources i have. I know that week 6 is coming with that so I hope that will help.",,"A shopping list of gear. A list of apps and their functionality and how to use them. A tutorial on here is how you create content. Like physically the step by step process of setting up the camera angles, wiring for sound, etc. here is how you can edit it. Here is how you market and sell it. As a speaker here is what you should have to make a good speaker reel. I am a note taker a list maker and a check the box strategist.  I wish i could just hire and outsource everything to the professionals who could do this for me but that’s not currently possible. So i need to know HOW to do these things myself. I’m not afraid to speak. I’m not afraid to work. I just need help to know how to make it happen.",What type of career curator are you?
I wanted to learn more about workshops,"I Have only heard the first to weeks, so I can't say yet",,"I would like more dirrect Q/A's, and not just ""Sue talking""",Expand your business
I was looking for clarity to streamline my social media plan as well as learn more about other options for growing my business.,I haven't completed it to really see results yet.,,I'm not sure because I haven't completed it.,"I did not realize it would open up possible revenue streams with content. I would recommend adding or renaming with something that plays with the ""pillars"" that Sue talks about."
"As a veterinarian and photographer have aspirations to help veterinarians through 
Teaching and video content",I haven’t had enough time to even watch the first video. Definitely want to,,"I’d love to be able to rewatch the videos on my own time, on going.  I have long drives to my shifts and I’ve been stream SBE and portrait system podcast for years.",I can’t comment
It’s Sue and she’s magic! Always looking to improve myself and my business with education,I haven’t had time to dive into any content yet!,,"Sometimes it’s overwhelming to have a lot of lives and things to show up for with my busy schedule and being a single mom as well as having ADHD. I don’t know if there’s a better way to break things down for me like one little topic a day or gamifying it etc.? Accountability groups just stress me out with more things to keep track of and show up for, and ultimately I shut down instead of keeping my momentum and enthusiasm. It could also just be the stage of life I’m in but I’m sure there are others that can relate and I just hoard the content like a dragon without actually listening/doing the work and taking action.  Just throwing all that out there!",Showing Up?
"I was curious :) and maybe hoped that it will give me a kick to post more, and create more content","I havent watched yet - I am in China, and the internet was to slow to stream. I will bindge watch first next week when I arrive in UK",,I cant get used to Skol. Its just another platform that my ADHD brain forget about the second I installed the app <3,No idea. So far I like Content Curator :)
I would like to become a coach and sell online products/courses.,I'm at early stages to figure out what to do so I'm very hopeful it will help.,,I would love to attend in person workshops and have someone looking at my system.,"The Art of Curation, Curation Academy, Masterful Academy"
"Sue is always very inspiring so it is a big chance to hear from her in a new course. Then the fact that it was about content curating, the subject that is very challenging and tough to tackle these days was the main reason I signed up. To get me started, to encourage me to think differently about all the social media and online platforms and to brave in making new contents in a job I love.","It did and did not. I was not the same as I thought at first, and doing talks and podcasts was not of my interest or in my dreams, so there has been a lot of times I have second thought to stop and ask for refund but still I am always fascinated to Sue and all the offers so I am staying and re listening to them too.",,"more focus on the overall content curating idea, the challenges, having discipline and our approach to the rather uncomfortable task.","It is mostly about speakers to me. Talk your ideas, speak to your audience. I know these are simple rather than being creative topics but just to give you an idea."
"I have been a creative solopreneur for over 16 years, and I always work with clients providing service (trade money for my time). I have a lot of work, but I always get burned out or feel exhausted. I needed ideas to make my knowledge and skills into new content that would make me enough money, but I didn’t have to feel almost dead now and then and constantly stressed. I want to use my time also to create art, but as we know, we need other methods to make an income.",It has been a good and helpful course but I don’t have a clear idea yet how I can take action in reality.,,"I’m not sure. Maybe there is not much real interaction. But I’ve enjoyed the content on my own time. I feel energized when I start the week and I watch the new episode. It makes me feel that I might figure something out, to get out of the rat race, but at the same time the path doesn’t feel very clear. It probably should but it doesn’t . I just don’t know yet what kind of content would truly allow new income and how I should do it (also English is not my first language and I should do it in English). But this course makes me realize it’s possible and I might find a way.","Creative content creator - for me it’s about creating, not curating"
Digital Content Creation,It has been somewhat helpful in guiding me through other aspects of what I need to do to create a broader audience for the digital content,,"She may be going over this, but creating email funnels. I'm 48, and even though our business is over30 years old, neither myself or my husband has ever had an email list and I'm not sure how to go about getting one started and what software / app would be best.","I think it's the word ""content"" that is throwing me off. The word ""curator"" fits well for the course. Or, maybe it's just the description or subtitle and not the name that needs tweaked. Either way, it has still been very helpful. I don't feel that it was misleading, just a little confusing."
to learn how to build a speaker brand and create better content,"It is helping me. The process is taking longer, so I am not quite there yet.",,I can't think of anything I would change at the moment.,
"I was exploring the possibility of generating passive income. Additionally, I was considering that this opportunity would allow me to learn how to put myself out there and build my brand.","It provided me with some clarity, for which I am very grateful. I find it challenging to comprehend certain structures, particularly the entire process of creating the foundational framework. Perhaps this is my own limitation, but I tend to learn better through practical examples rather than broad explanations. To clarify my issue: Imagine a photographer (or any other professional) who wishes to establish a business in this particular category. The “bones” of this endeavour might involve the following steps. I need more detailed insights, preferably illustrated with practical examples, to enhance my understanding.",,More practical cases to understand some frame concepts.,Creating Wealth Through Content: A Passive Income Masterclass.
No not a specific reason,No specific reasons,,I truly haven’t got thru to catch up yet,Again I can’t honestly answer I’m not all caught up
I have done many of Sue’s courses in the past and she is very motivating. Listening to her first free live course even though I wasn’t ever going to be a speaker it did give me many ideas for I could do that in my business. But after purchase I noticed this course was not as useful as first thought. I must admit I haven’t had time to do the full course due to work. I really should have done more investigating on what it covered. I thought it would be linked to photography.,"No, Content Curator Didn't Help",,,
To get help building materials and cultivating ideas and a timeline for online classes and a YouTube channel,"No, Content Curator Didn't Help",,"While I found the content motivational there was not a lot of helpful information in the way of creating content for classes. It was all definitely aimed more towards public speaking and key note talks. 

What I want to do will include that but I need more information on building the materials I have in a way that’s cohesive. 

I had hoped on more information that would help me sort and prioritize ideas.",Motivation for key note speakers
I wanted to learn more from Sue,"No, Content Curator Didn't Help",,"I felt that for a first time Sue follower it was good, but I feel that everything she talked about was the same I had already heard from her.  I am a photographer and looking at being more comfortable in front of the camera and show up more in social media for my clients and this was just not the course I was looking for",How to get started as a speaker
I thought I will be able to create content and start selling in this 6 weeks.,"No, Content Curator Didn't Help",,"this course is not for beginners, if you are having a distribution already then it makes sense. I dont have social media followers to whom i can sell to my course.","People who are Good can move to level ""Great"""
Podcast setup/ monetization,"No, Content Curator Didn't Help",,N/A,Something about speaking.  Seems like the majority of the content relates to becoming a speaker and how to create content around that.
I was hoping to get info on how to market by building a social media following and gaining clients as well as selling and creating products with graphics design and marketing that online in an effective way.,"No, Content Curator Didn't Help",,"It was very heavy on speaking, teaching and not nearly enough on the introverted creative who just needs to make products and get it out in front of people.",Podcast creator
Creating more meaningful content to help improve my online presence to generate more leads and website traffic.,"No, Content Curator Didn't Help",,"Admittedly the last few weeks I've been totally slammed so am in need of catching up, however...my initial opinion of it when I watched the first two live sessions was that it felt totally like a Creative Live course. It didn't feel intimate.  It just felt the same as every other course. I didn't feel like I was really learning exactly what it was that Sue did for her own career.  More like broad brush strokes rather than fine print if that makes sense?",Uh oh.  Not my forte...
Just being able to connect with Sue Bryce and her projects and want to keep growing mine.,"No, Content Curator Didn't Help",,"Im still trying to digest and understand, I dont know…",I dont know Im confused on what I  sign in🙈
