"Quick question, why did you originally sign up for *Content Curator*? ",And did *Content Curator* help with the reason you initial signed up?,I'm glad it helped! Can you describe how *Content Curator* helped?,"Last Question: What changes could make *Content Curator* work better for you, or for future participants?","*Bonus Brainstorm:* If we renamed this course, what's an idea for a name that you think best matches what you got out of this?"
I hoped this workshop would help me organize my thoughts and put my ideas into action.,"Yes, Content Curator Helped!",Learning simple processes to create that work and can be applied by anyone to anything they desire to create.,Can't think of any at the moment,I think Content Curator is great
"In an effort to breathe new life into my 12-year-old business, I decided to turn to content creation and yet, I kept stalling. I needed a system to get going, an authority to coach me, and a community to back me up and saw that Content Curator had all three. It seemed like the universe was sending me a sign (or else, it was Craig Swanson :)","Yes, Content Curator Helped!",Content Curator gave me both a deeper understanding how to approach content creation and the coaching and encouragement to take the first steps to get started.,"I felt that Sue want off-script regularly, making her hard to follow and the related take-home points unclear. I can see that is her style but as someone who is accustomed to more formal learning, it made it hard to connect the dots unless I went back and re-watched the recordings. Sometimes I had to do that several times, and I felt that time could have been better spent over the course of the six weeks if I actually focused on the exercises. For example, I have yet to do the timeline and bones and now when I finally do it, I will have missed the live coaching where I could have asked questions and a richer understanding of the content. What good is the content if you don't do the related exercises? Also, some word choices are not obvious, eg: what is a vertical? Maybe I should look up that word in a kiwi dictionary. ;-) But there is a benefit too: I am an educator and a coach and I have a greater appreciation of why it's important to teach using clear and concise language, well organized for the learner/client. Thanks for the opportunity, Craig! - Michelle","I think Content Curator is Sue's branded language and it's close enough to Content Creator to be recognizable. Since Sue speaks to that audience and it could be off-putting to those like me who aren't, she could niche down to attract photographers and other artsy types. If so, you could add an adjective like, ""Creative Content Curator."" From a marketing standpoint, our head tends to recognize concepts better when anything like words in this instance, come in threes. I will recommend this course to my content creating friends who are photographers and other creative professionals, and so will be sure to tell them to look up Sue Bryce and not ""Content Curator"" thx!"
I want to become a speaker,"Yes, Content Curator Helped!",The speaker roadmap is exactly what I was looking for.,I couldn't keep up with all the weekly modules. Maybe an option for a slower track?,I keep calling it Content Creator rather than curator.
I originally signed up to learn more about creating a workshop (for clients). Sue's enthusiasm for creating content was contagious and opened my mind to so many options,"Yes, Content Curator Helped!","It has more than helped. Writing my 3x3 encouraged me to think big, but not huge, so I wrote photographer, storyteller and writer. As I wrote in a post in the group, shortly after putting out into the universe I want to be a writer, an author/producer/wealth manager reached out to me (I met her at a networking group six years ago and she had been following my work) and asked if I wanted to be a part of an anthology of professionals who can help a woman going through divorce rediscover her mojo. So I said YES! Between that coaching and CC, I have all the tools I need, and I just finished writing my chapter already.","oops, I wanted to continue the previous question. When Sue laid out her brainstorm for templates, that gave me an idea for a video series.  Then one of the coaches in the book writing program asked what kind of lead magnet I wanted to create, and when I shrugged my shoulders she said I can see you creating a short video demonstrating some of the things you talk about in your chapter. That was a perfect tie in to the template video series idea that Sue had planted. THEN, I realized all this leads up to the workshop that I want to create. So YES, this has been very helpful, because it does seem possible to someday add Workshop Leader/Facilitator to my 3x3. What I would find helpful are more examples. Beyond Sue's story, which is magical, maybe show us how to turn 20 bullet points into 20 titles in a variety of areas. And also explain what a vertical is. For those of us not in the biz world this is a vague concept. Also, some examples of heart narrative. Examples help the content go deeper. Hope this helps!","Oh, that's a tough one. I'll let you take the lead on that. Good luck!"
I signed up to move into my teaching and speaking opportunities in a new (yet familiar) direction with clarity and confidence in having the details worked out.,"Yes, Content Curator Helped!","This is such a dynamic, clear course compared to the Beta.  It is a great foundational course that helped me put the pieces together for the finale of my career.  I always wanted to build a course but didn't quite get the steps clear in my mind.  The maps are brilliant, the education is really about exploring where we are, what we know and where our mastery is, giving us an outline of the opportunities available.  I have been able to do each step along with what is taught each week to prepare for a sponsored webinar that is the basis for a future course on the branding process with an emphasis on a visual library and how to use it.  Content is pouring out of me!  So far I have been able to figure out all the steps and add to them my speaking experience, marketing and networking abilities to make this beta webinar on Friday a success.  I have 20 people signed up!  I have enthusiastic reposts with recommendations of the announcement of the webinar!  It's been a commitment on my part to keep up and apply the course in real time including building the landing page, writing the bones then the content for the webinar along with a workbook and a giveaway for one lucky winner that I can also sell.    I am now preparing a landing page for the course waiting list.  Kinda scared but also excited and overflowing with brilliant content ideas that I am most enthusiastic about!  I was ready for this course, I am excited for the other students as I listen to the steps they are taking for their journey.  I keep saying it's all so exciting, I am lit up like fireworks!  I am so grateful for the education in this course.  With photography and self value I had several mentors along with Sue but with content creation, I may have met many educators on course creation but have not met anyone who can teach this one so well.   Everyone on her team has my gratitude especially to Sue for this course.  Mahalo, Thank You and Muchas Gracias!","It has worked well for me because I am very good at filling in the blanks.  But I can see some struggle with the details.  Technical like an audio setup.  Taking each step in order, for example trying to make a speaker reel without understanding the context.  Maybe emphasize doing a beta test of speaking while it's being recorded from beginning to end with testimonials to have content to create the reel.  A checklist with each Map, a do this then that.  Emphasis on how how each step prepares you for the next step.  More detail, I guess.  An FAQ with each lesson.  I'd also like a little more feedback.  I'm doing the work, I'm confident in my materials but a little more feedback to be sure I'm on the right track.  But then, doing the thing and seeing the results is the best feedback, right?  I am definitely prepared to do the thing, let's see what the feedback and results are!",Content Creator.  My biggest lesson is learning that I can create a course.  Curation is necessary but only after creation.
To get clarity and a path forward with the ideas in my head. To expand and find new ways of creating income streams. To learn more about speaking.,"Yes, Content Curator Helped!",I got clarity and actual paths created (or in the process of creating) that feel doable and realistic!,I can't think of anything right now,"no idea, Content Curator is good"
I want to have additional revenues,"Yes, Content Curator Helped!","Sue has an extraordinary presence that captivates your attention effortlessly. Amidst our myriad of blockers and self-doubt, the opportunity to consistently receive invaluable advice from her week after week is a game-changer. It significantly alleviated my fears and empowers me to navigate through challenges with greater confidence. Thank you!",Everything is great!,Creatives : Unblock 101
"I was asked to present a class for ASP,  my local guild and TPPA. I love teaching but It will be my first time teaching photographers so I was interested in this class because I was looking ways  to improve, be a more confident speaker and create better content for my class.","Yes, Content Curator Helped!","I feel more confident, better prepared and I love the content I am creating for my class",I will add a page to the weekly documents downloads that the participants can send back to Sue with any questions they will like Sue to answer at the end of the live presentation.,I like the name it has now
To get a better understanding of the process of the business side of photography.,"Yes, Content Curator Helped!","I'm woefully behind in the videos and workbooks, but it's given a great level of insight into what it takes to get the ball rolling, and to keep it rolling. 
I've been wracking my brains when it comes to what kind of digital service/product I could offer, but what I keep coming back to, is seeing Sue scream into the camera ""BUT, DO YOU LOVE IT? Because if you love it, you can sell it.""","I'm still having issues with trying to access the Skool side of things, so I can take advantage of asking the community questions to help me.",Sell What You Love.
I am creating an online course,"Yes, Content Curator Helped!","I just love all of Sue's teachings, pdfs etc. She helped me get over limiting beliefs, build confidence, inspire etc.",I would love printed materials or workbook mailed.,
