==== Start of Transcript: Deep Dive 12 - Awareness ====

Nikki Closser | Hi, everyone. Welcome back to the deep dives. We are on awareness this week, Sue. How are you?

Sue Bryce | Oh, I love awareness. Hi, everyone.

Nikki Closser | I know this is a really good one. When we when we realized that was the one we were doing this week, we were both like, oh, good.

Sue Bryce | So the next sort of series of videos, all your solutions. So this is where we start getting out of the weeds. I feel like everybody also starts doing the work All of it. It's a lot. You know, there's a lot of content in these first sort of 10, 11 videos.

Sue Bryce | And then all of a sudden you're like, am I supposed to be working through all of my life areas one at a time, and you're really not. These are just highlighting where we get tripped up so that we can go back and really learn more about our car, really start to come to a witness. But now the It starts with a winners and everything after here is about our daily ritual and solution based and moving us forward and So, yeah, this is probably the week where the most this might take a lot of time, and there'll be a whole lot of awareness coming up all day every day around a whole lot of things. This is where you start to come to a winners of the stuff that you're doing wrong, and it feels bad so you don't wanna do it. So it feels like people say the same thing.

Sue Bryce | They say, I thought I was doing really well in this area, and now I've realized I'm doing this, this, and this. And then they say this one thing. I realize I have so much work to do. And I realize that this is not gonna be overnight, and I realize that there is so much work to do. That is not true.

Sue Bryce | You're coming to a witness of a pattern and you're coming to a witness of your behavior, other people's behavior, you're coming to awareness of what you're seeing reflected back at you and you're not liking it in yourself, that's okay. You're bringing stuff to the light all the time. But this idea that you have to work on this for the next 1 year, 2 year, 10 years is a lie the faster can shift your brain and your emotions, you can actually get there tomorrow. You can wake up tomorrow in complete alignment if your paired to let go of the narrative that you stuck on. So awareness for me is the moment we all wake up.

Sue Bryce | Well,

Nikki Closser | I feel like, like you said, patterns, we get stuck in in, like, always talking about what our problem is, what's wrong, you know, the drama and just all of it. And I love this segment so much because it's so much about shifting from that. This is my problem too. This is my solution. I love it.

Sue Bryce | Okay. Focus and emotion is how we create momentum, how we create energy, how we are creating everything right now is what we're focused on, and how we feel about it. So that's not good or bad. You can focus on something really negative like the problem or the drama focus. And you are going to attract more problem, more drama, because that's what you're focused on.

Sue Bryce | And the emotion that comes with that focus is the fuel in your rocket. So if it's stuck on a negative thought and then a negative emotion, you're going be attracting at a negative rate at a great rate of knots. The same way you can attract positive stuff into your life at a great rate of knots when it's a positive focus with a positive emotion. So that means that that awareness is really just bringing us back to what am I focused on and how do I feel about it? Because the longer I sustain this focus, the more I am manifesting creating attracting exponentially in that moment, in that negative So when you think about that, coming to awareness is really first stop is coming to awareness of you know, my thoughts and my feelings, what they're focused on and what they're stuck on, because my thoughts are stuck on a thought, and my feelings is responding to that thought.

Sue Bryce | And if you can change that thought and that belief inside you in that moment, you can shift that emotion. Once you've shifted that emotion, you can get back into alignment. So there are many segments of awareness that people so let's talk about all of them as they come up because I know that you've got them, but you just said the first one, and that's problem focused. Whatever you're focused on, you are manifesting. Now when you wake up and you today's pain and yesterday's emotion or tomorrow's fear, you are now creating your day from yesterday's pain or tomorrow's fear, and it's that simple.

Sue Bryce | You can spend all day here, manifesting more of your today's focus and more of tomorrow's fear, or you can break that and reframe that. So I always say there's a step down from problem focused. First, you get stuck on the problem, and you can't see a way out, right? That's where people say they feel stuck. But when you're drama focused, like, there's drama around you, and you're just focused on the drama, you're actually perpetuating so much trauma and pain in your life in that moment, and you have to really break that cycle.

Sue Bryce | It's no different than poverty. It's something you get tuck in this cycle that feels like it's out of control because drama is problems that are out of control with other people, you know, contributing, and it feels like, judgment, and it feels like rejection, and you're doing everything in your ego to survive and drama. And that's just gossiping and getting alliances and creating more competition in your life. If you see any drama in your life, you are not in alignment. Now problem focused is just when you get stuck on the problem and you just keep coming back to the problem because it's paralyzing often going through that problem is so paralyzing.

Sue Bryce | You'll just keep getting stuck on the problem, and then you'll just perpetuate more problem. So let's come to a awareness in the morning and our daily ritual of what my thoughts are saying and what my feelings are responding to because you know, in order to get to a place where you feel bad, you first had to think bad thoughts You first had to go back to an old bad narrative, an old negative problem focus, an old drama focus, an old belief system of I'm not good enough. This is not working because you've already told a narrative that has started your cycle of not good enough.

Nikki Closser | What you just said though too is the fear too. So I'm thinking when I wake up sometimes, I'm thinking I'm projecting, like, What's gonna happen, you know, the anxiety of what's coming today or tomorrow or next week. You know, it's like I feel like it could be either of those things? What's happened to me before or what I'm afraid is going to happen?

Sue Bryce | And the second you're out of the second you're in the future, so you're in tomorrow's fear or yesterday's emotions. You're not now. You've completely removed yourself from now. And, you know, when you feel that stress, the stress of fear, which is stress because it's worry. You've lost your present moment.

Sue Bryce | You're not living in your now. And when you're now is joyful, When you're doing something in the now that has deep meaning, whether it's working with deep meaning or purpose or, like, spending time with your kids or friends or family or self care, when it's purposeful and it's joyful, you don't spend time in yes today and tomorrow because your right now is so freaking good that there is no tomorrow and yesterday. There is only. Gosh. I want more of this.

Sue Bryce | This is a joyful moment. And, you know, your body doesn't know the difference between a thought and an experience because I'm saying it, and I'm getting goosebumps. Yeah. Because my body is talking about a joyful moment. And I'm responding, you know, we're kinetic beings.

Sue Bryce | We're just so energetic. Even our voices. That's why I say words are so powerful. Because everything you're thinking and responding to and then speaking out is creating this now. Like, how can I talk about being in alignment being in a joyful place where I'm enjoying my day so much, there's no worrying about tomorrow and yesterday?

Sue Bryce | That I'm actually getting a physical response because my brain thinks it's in joy now. I mean, I'm joyfully recording this. Content, which is a place of joy already. I'm joyfully having a conversation with you. I am joyfully with in my house.

Sue Bryce | So I have this gorgeous little studio, and I joyfully have a team of people who come into my house with 1 Sierra who I like. So already, my day is set up to when. I'm around people. I like, I've got people in my world right now that are bringing me joy, but the fact that I can sit here and talk to you about a joyful moment and that my body, my nervous system, is going into a place of joy. Tells me that even thinking about it and saying it brings that to me no differently than thinking a negative thought feeling not good enough, feeling unseen, feeling the struggle, and then not being able to get past it today because I'm so locked into the feeling.

Sue Bryce | That feeling's not mine either. And when we do talk about stuff, our brands don't know the difference between the past And now if you bring back an emotion from 10 years ago and it's trauma, your body thinks it's happening now like my buddy thought we're having a joyful moment. A really joyful moment, and I'm like, that lows my mind, that means it's a frequency we can shift. And if anything, awareness has to bring you to emotional mastery,

Nikki Closser | There was something you said to me a long time ago. Like, speaking of how you said you the words that come out of your mouth, you know, were really important to pay attention to. I remember I had achieved a goal that I was really excited about, and I was like, Sue, I just can't believe it. Like, it's unbelievable.

Sue Bryce | I can't believe it.

Nikki Closser | And you were like, no. No. No. You you ought to stop saying that.

Sue Bryce | You created it. You you created it and you did it. Yes.

Nikki Closser | So stop telling me you

Sue Bryce | can't believe that happened. Right. And the second you tell me it can't believe it happened, you send it back.

Nikki Closser | Exactly. And that has been a huge shift. And it and it it's just a small part of awareness that has made a huge difference.

Sue Bryce | You know what? The better one than than that, the better one than I can't believe

Nikki Closser | it is how Oh, yeah.

Sue Bryce | Okay. So the second I say, okay. What do you what do you stack on? And you go blah blah blah, and I'm holding space. And you go, okay.

Sue Bryce | I really just wanna be here. And and I go, okay. Well, you can create that. Your first question would be how? Oh.

Sue Bryce | And I was like, Ah, we're not to get stuck on the how because the how instantly says I don't believe that's coming to me. So The how is saying, I don't believe it's coming, and then the audacity to ask the universe for something step up and see that and then say you can't believe it, you might as well just send that straight on back. If you say I want a Maserati, but I don't know how that's gonna happen. I've already decided I don't know how it's gonna happen. Mhmm.

Sue Bryce | Now if I say I want a Maserati, I don't know how I'm gonna get a maserati, but all I know is I will be driving the brand new 2024 Maserati. All I have to do is believe it, and then let it go back out there, not cancel it out with a negative thought, but just leave it in there as desire. No. I'm allowed it. Believe I'm worthy of having it.

Sue Bryce | Know that a situation will arise in the next 2 years where I will have to make a decision about a new car. And then all of a sudden, I'll be standing there in a year and a half, and the opportunity will present itself I'm looking at a brand new Maserati, and I'll look at my husband, and I'll go, I manifested that. You know, because that to me is the moment where We can create whatever we want by whatever we're focused on and however we feel about it. So if I don't know how it's coming to me, I don't believe it's coming to me, or I just even say that I can't believe it, I'm based just saying that I don't believe that that instead of gratitude, so remember gratitude is simply an energy that something you truly wanted has been received. And so the better response would be look what I created.

Sue Bryce | Oh my gosh. It's finally the moment where I feel like I'm breaking through. I'm asking for things, and I'm seeing the evidence that they are coming to fruition. This evidence is coming to fruition, and the crazy part is is I am watching it come to fruition, and I'm almost in disbelief, but then I remember I chose this. I asked for this, and I focused on it every day.

Sue Bryce | I feel like that's the moment where we start to feel bad about getting stuff. We start to think, well, Wait. I'm getting a whole lot of stuff now. Am I worthy of having this? And I have this thing called deservability where it's like, there is no such thing as worthiness.

Sue Bryce | Am I worthy of asking the universe god Allah for what I want. Yes. You can ask for whatever you want. And I always say to people when you ask god for something and you and you get given this opportunity You are the one that denies it by thinking they're not good enough instead of accepting the gift and stepping into it, receiving it, and saying, yes. I deserve this.

Sue Bryce | This is what I've asked for. This is what I deserve. This is what I want in my life. This is the moments I wanna share the experiences I wanna have, the freedom I wanna have, the options I wanna have, the abundance I want and enjoy in my life, like, you can absolutely be okay with having all of those things. Now if for any reason you can't get there because, like, a family member's making you feel bad or you have to, like, maybe outgrow friends in order to have this, you're comparing a lot in

Nikki Closser | our community. Yeah. And people talk about this a lot.

Sue Bryce | But you're comparing yourself And you don't need to. It takes a little bit. You're growing. People who vibrate with you will keep growing with you. Don't compare yourself to what you're getting compared to other people, but it's hard not to.

Sue Bryce | So we definitely slip into that ego a lot. But, yeah, the awareness I really want you to come to every day is to wake up and say, what are my thoughts stuck on? And what am I feelings feeling about that? And how do I get stuck on a positive vibe? Instead of getting stuck in that negative and then perpetuating a cycle of negative in my day.

Nikki Closser | There's a big piece of that segment of the segment of awareness where it's about taking responsibility, you know, and and once you take responsibility, you get that control back. And I feel like it really does start with our thoughts. Like, we can take responsibility in of you know, what we're thinking and what we're doing. And to have that control is just it's such an empowering feeling.

Sue Bryce | Okay. So I had this thing when I was really struggling, and it would be whether I was waking up in the morning and struggling with, putting myself out there and all the new stuff when I was growing and building, And whenever I would be the most challenged and the most alone and the most fearful or the most I can't do this, I would go in, you know, into myself and just quietly, like, lie down and even get fetal and hug myself and go, and I would just go, You can do this. You can do this. You're a tough little bunny. And you can do this.

Sue Bryce | Like, I would just tell myself. I was like, come on girl. Mhmm. You know, you're not you're not living up to anybody else's expectations. You're just blazing a trail, so blaze a trail.

