==== Start of Transcript: Deep Dive 11 - Work ====

Nikki Closser | Hi, everyone. Welcome back to deep dives. I'm Nikki Closer. I'm with Sue Bryce today.

Sue Bryce | Hi, everyone. Hey, doing? We're obviously wearing the same clothes.

Nikki Closser | He likes to be efficient. So today, we are talking about work And something that you talked about in the power talks, and this is something that, like, when you said it, it just resonated so deep is that one of your first kind of real true feeling valued and important was through work. And I feel a 100% the same.

Sue Bryce | I didn't get my value from my family, meaning, like, some people have a valuable family already in a community, and so they're born into that family. So it wasn't like inheriting any family value, although, you know, other than the basics of, good being able to make friends and stuff, I also didn't get any value through education because I didn't finish high school or build a community with high school that way because I didn't get to go to finish high school. So or college. So there was no identity there, no sort of community there either. For me, it was building that business.

Sue Bryce | And of course, they didn't start doing that till I turned 30. And then it took me 2, nearly 3 years to monetize. You know, the 1st 3 years, I paid rent with a full credit card, and I live month to month as a business owner until they broke through selling and value. So to me, yeah, some people, I guess, get a sense of value from their family unit Some people may be especially if you live in a town where your your family owns a business in town and they're known in town that already is a sense community and value that's a little, you know, different. There's always a way to find your value and work through it.

Sue Bryce | So, yes, some people find it through, a spouse, which you believe. You know, but however you find your value, You can then put that value in every area of your life.

Nikki Closser | Mhmm.

Sue Bryce | But you can come in a different way.

Nikki Closser | I remember just not feeling important, I guess. And so, therefore, I thought, well, how can I And at the time, I was not aware of this just looking back? You know, how can I be an important person? And to me, that was to be a social worker. If I help other people, that makes me important.

Nikki Closser | Like, I would just kept trying to put value and help on others instead of myself.

Sue Bryce | Yes. People pleasing. People pleasing in your career, but then obviously, well, most of us people please for that first idea of the career because You know, you grow up and people say, what are you gonna be when you grow up? And you kinda formulate this idea. Mhmm.

Sue Bryce | But you go along with it. But, like, there was never any opportunity to be like, well, Nikki, you could be whatever you want. You could be an entrepreneur. You could be a photographer. You could, you know, be this.

Sue Bryce | You could be that. I mean, we didn't we got the same options. Our parents with the same limits usually around what our parents got, and then you make a decision and you start walking towards it, but So this area is interesting in terms of self value because I believe that you could infuse your work with a career with self value that you don't own the business, but it's a career. Yes. You can absolutely work with purpose and value in a career where somebody else is paying you, maybe you just want a side hustle.

Sue Bryce | Maybe you just want something that you love doing over here that makes money. Maybe you actually want to start a business or be and I say solopreneur because an entrepreneur Like, just the weight of that word sometimes, and I've never liked that word anyway, but solopreneur was because I'm self employed. And I've been self employed for this amount of time, but with modern business now, you can ten ninety nine people all day. And not have a single employee. So you can bring people in who are contracted workers who can work within your business and in their wheelhouse and get paid well doing it, but you're just not responsible to find work for them the other 362 days of the year.

Sue Bryce | And they get paid a little bit more. They have a higher engagement in your business. So there is just a way to make this work for all of us once we get to self value and then start, unlocking what we really, really want. I believe everybody is worthy of the education that they want. The job or career that they want, the business, the side hustle that they want.

Nikki Closser | A lot of a lot the students in our community are in kind of a position where maybe they they want to change careers. They wanna leave a a day job that they that they have now that they don't want and they wanna start How

Sue Bryce | do I jump? Or Mhmm.

Nikki Closser | And you know, I did that. You know, I went from being a social worker for 12 years. Into full time photographer. And I think, you know, some people are like, you know, how did you do that? Like, you're so brave or this or that.

Nikki Closser | And It's just such an interesting

Sue Bryce | perspective. It's it's setting expectations, you know, that business is setting expectations. It is creating a product of value Marketing is an offer of value with authenticity and servicing care because the more you give, the more you get back in equal exchange. Valuing yourself, your time, setting expectations with your clients, problem solving. They're the 2 biggest ones, setting expectations, problem solving, and then money management, because most of us go into the start of business, we have no clue about managing money.

Sue Bryce | Or attracting it or keeping it or making it profitable or taxes. So there's some learning curves, but they're all systems. And they're the most safe system. They're a system of customer service, a system of product value, a system of marketing, a system of delivery, and it's a system of money management, and it's such an incredible tax system, and it's such a great system. That once you learn it, there's no mystery anymore, but the the fuel in your rocket ship is self value.

Sue Bryce | Because I built a business that worked for the 1st 2 years, but only month to month. It wasn't until I looked at it and said, I'm surviving, but I'm not thriving, which means there was no profit. There was no more at the end of the day I was only asking for enough. So you unlock that and your business life flourish Now it feels a little bit different when you're working in a job because somebody else is in control of that money. But although that feels like it's being held in a glass ceiling, it's actually also just an energy block because the more you infuse that career with value, the more you'll see evidence that there's more value there and the people that you are giving more value to will either elevate you in that value, or you will see that you're not being valued.

Sue Bryce | So you'll break away and start to value yourself in a different career. So it doesn't matter anyway. You're just gonna walk through all the stages, but the more value you give that product that service, that system, that authentic voice, that connection, that time with your clients, the more you fill that with self value, then obviously the better that is, more money, more clients, more people that wanna be with you,

Nikki Closser | You know, the other thing too is joy. You talk a lot about how, you know, especially with changing career, if you're if you're doing it with joy as opposed to the but how but how and really infuse it with joy, it makes

Sue Bryce | There's nobody does. Oh my gosh. Even you did that. To some degree. I mean,

Nikki Closser | I like fluctuating between holy

Sue Bryce | how the hell am I gonna do that? Yes.

Nikki Closser | Enjoy. I, like, was an up and down wave of joy.

Sue Bryce | You just, confronted with the unknown, and there's a lot uncomfortable conversations. Usually around money Mhmm. And setting expectations and problem solving, those are the uncomfortable conversations. But, yeah, once you get your formula, then you just fill it with more value and and you're away laughing. To me, self value in business was the moment, For me, it was breaking through money.

Sue Bryce | You see, they are tied so tied to each other. Just money is a value metric. So when I couldn't ask for money or receive money in my business, it felt personal. It just felt like personal. Rejection.

Sue Bryce | I felt like I could never ask for this money. I could never ask for this value in equal exchange. And the crazy part is is the rejection that you're most afraid of in this moment is I don't believe it's worth that money. That's it. Like, there's nothing else there.

Sue Bryce | And when you say it, I don't I don't believe it's worth that money. That's still not anything to do with you. In fact, you have to check your people, please, sir, because if somebody looked at you and said, I don't value this, you know, they're just talking about themselves. They don't value this. Maybe they like to cover themselves in honey and, you know, do something weird and different.

Sue Bryce | You don't know what people value. So it's like to meet them. Like, why? When they say, I don't value this, you here, you don't you have no value.

Nikki Closser | Mhmm.

Sue Bryce | And it's not It's not the reflection you're looking at. So, an objection is just a call for more information. Right? More it's just somebody not the right time for me, or I don't value this. So to me, I laugh.

Sue Bryce | I always say I hate ice cream. That's what they say. So when people when I felt offended by people, when they would say, I don't like your work, or that's not what they said. They said, no. Thank you.

