==== Start of Transcript: Deep Dive Bonus – The Self Value Car ====

Nikki Closser | Hi, everyone. I'm Nikki Closer. I am the host of the deep dives with Sue Bryce. Hi, Sue. Hi.

Nikki Closser | Okay. So something that I thought was extremely important for you to elaborate on and do kind of a bonus video is your concept of the car. It's something that you've kinda woven into this wholesale value workshop. Can you tell us exactly what it is and how it works?

Sue Bryce | You know, I I became the observer of my thoughts and my feelings. And the more I talked about my thoughts and my feelings as these three year old terrorists. I keep seeing them, all the time. These 2 little monsters, I actually my sister to illustrate them, and she's done that. And I just got them and they really are incredible.

Sue Bryce | Then I was doing my fear talk in 2013, And I joke made a joke about never letting fear drive. And, obviously, that came from an old bumper sticker when I was a teenager, it was an old Nike bumper sticker about living with fear and sometimes feel it's me race. So I always had that in my mind that fear is in the car with you, but you never let fear drive. But the more I started to teach, how to observe my thoughts and my feelings that keep seeing these monsters in my, right beside me, my front seat. So I was like, oh, yeah.

Sue Bryce | This is my car. So the South Value car, this is my concept on how I observe my thoughts and my feelings and my fear and how I managed to sort of define these narratives in my head. The car is your physical representation, how you look, and where you are on your journey of life. It's your identity per se or your ego. The driver of the car is the observer The one that's listening to the talking in the car, that is you.

Sue Bryce | You are the observer. Alright? The constant chatter comes from the 2 little monsters in the front seat writing shotgun. They're my thoughts and my feelings. Okay?

Sue Bryce | My thoughts is constantly speaking, and my feelings is constantly responding. So my thoughts is talking. My feelings are responding, but I'm not either of them. I don't have to believe either of them. I just have to listen to both of them.

Sue Bryce | And the back seat is fear. Fear never leads the car. Neither does my thoughts or my feelings. They all stay in the car, these 3, but we never let these 3 drive. Fear is one of the most basic human emotions.

Sue Bryce | It is programmed into your nervous system and works like an instinct. Fear is not a thought It's a feeling. It's also a physical sensation. It's an ancient biological warning system that is designed to save your life. You feel fear in your physical body before your brain even registers danger.

Sue Bryce | And I know that everyone thinks that they have to overcome fear, but that is not true. That's why fear never leaves the car. So in all of your emotional patterns, in all of your stored memories, you've seen fear as being one of the biggest emotions that's stored in these memories because that's how we store big memories. We attach them to the big feelings because next time that's gonna alert us to pain, danger, rejection, or any threat to our survival and existence. That's what fear is.

Sue Bryce | It's to keep you alive. So you can question fear but don't analyze fear. You can question my thoughts as truth. Is this facts 100% but don't question or analyze my feelings because they're just responding. They're just like a three year old that's hungry and needs to nap, and you just took their candy away.

Sue Bryce | So I accept that my feelings will be inappropriate most of the time just like a three year old. So these little monsters don't leave your car either. And I'm telling you you don't have to try and kick fear out fear is not the problem. Someone else got into the car with fear, and that's old story that fear attaches to. So old stories of peach, fear dates, this harem of old stories, old story remembers every bad thing You have ever done every past hurt.

Sue Bryce | You have ever experienced on repeat Old story does not get to stay in the car. So as you come to this awareness of my thoughts and my feelings And these 3 that are constantly speaking in your car, you will feel fear and you will observe yourself your thoughts attaching to an old narrative of negative self talk or old programming or just a poor me story It's not fear. I never get my needs met. My thoughts start grabbing these old stories with their old memories and all the drama and all the old hertz. And then you have this open gaping wound because the brain doesn't know if it's happening now or if it's happening then, or it just knows that it's wounded.

Sue Bryce | And energetically, you just start to carry this gaping wound because you feel shame and rejection and you feel unworthy. And then every person reflected back at you shows you that back. Every interaction feels more hurt because you cannot grow past your emotional response to anything. And that is because my thoughts and my feelings are speaking very, very loud and I'm believing both of them. So my feelings are screaming loud.

Sue Bryce | So you've just got to listen to the feelings, but it's my thoughts that we really, really have to start changing. So it is powerful indeed to master fear, but I don't believe fear ever leaves. I want to show you how to look deeper at this in credible lifesaving response, you'll find that what you're most afraid of is rejection. And that's why fear dates so many bad people. You're gonna become aware of the 3 voices in your car, and now you can start to listen to them observe this process.

Sue Bryce | Literally watch yourself. Feel hurt. Get into an obsessive loop over it. Attached to an old story from the past. And with awareness and practice, you can actually start to get between that thought in that feeling, and you can literally say no, enough, enough fear, old story, get out of the car.

Sue Bryce | Kick old story to the curb immediately. So I love this quote, and this quote is anonymous, even though it starts with. My mother once told me, My mother once told me I can tell you over and over to leave a situation, but you won't until you are ready. One day, you will wake up and say, I don't wanna feel like this anymore and you will be done. That's how you feel.

Sue Bryce | You will wake up one day and you will observe yourself attached to an old narrative that you no longer believe that does not serve you anymore and you will say enough. I don't want this old story anymore. So in our car, we're going to pick up to believe. And wait till you find out how much fun you can have with this incredible little monster to believe does not believe anything that fear or my feelings or my thoughts say. You know, I became a public speaker with a atrocious self value.

Sue Bryce | I would get up on that stage so prepared. In fact, over prepared. I was overflowing with content to give, give, and give, and over give as much as I could just so I could feel worthy of standing up there with those other speakers. I would not only give it everything I had. I would get off that stage.

Sue Bryce | I would leave the arena and I'd get into the car and self hate would be waiting for me. And together, South hate and I would critique the talk, the outfit, the response, the applause. Why did you say that? Stupid. Why didn't you say that?

Sue Bryce | You dropped the ball. Why did you say it like that? And I would just burn with ego and shame and I'd be exhausted. And I would just be spent from giving everything I had in self hate would just say it's not enough. You're not enough.

Sue Bryce | And then together, we'd go through all the horrible, bad photographs from the audience that are being plastered online, but I don't read those beautiful comments and the empowering feedback and the compliments because self hates already pointed out to me that I looked old and fat and disgusting, and I'm stupid. And why am I standing up here shining a light on all of this that I don't like about myself? So after about 13 of these stage talks and cruel, painful evenings that followed. I finished a big talk. In fact, it was my first international forecast in 2012.

Sue Bryce | I returned to my hotel room, and I found self hate waiting for me. But this time, I brought home to belief. You see, I kept experiencing the self hate afterwards. But the evidence and success of my workshop, like, people were buying it, I was getting a huge audience evidence was then, it was showing me that I was doing this. This was working, and the hotel only allows one room guest, so I chose to believe.

Sue Bryce | And I started to say it out loud and it was just a whisper. At first, I choose to believe. I choose to believe and I cried and I cried and I just started to repeat it. I choose to believe. I choose to believe I did my best today.

Sue Bryce | I choose to believe I was enough for a whole lot of people. I choose to believe I freed someone today. I I choose to believe my authenticity, Sean, brighter than my fear. I choose to believe I empowered someone. I choose to believe I showed my mastery today.

Sue Bryce | I choose to believe I got to share my joy with the world. I choose to believe I gave someone permission to be more today because I chose to be more because I didn't stop because I chose to believe in myself, and All of a sudden, this to believe energy was just coming up and self hate was gone. And I chose to believe. So I keep choosing to believe until I felt self hate leave the room. And because I choose to believe I am more, you have to see yourself as more in order to ask for more to set a boundary for more to step up for more to receive more.

Sue Bryce | And manifesting is not about wishes. It's about feeling a sense of value in your mind, in your emotions, in your heart, and in your focus. So how do I believe in myself? I believe the answer is in the question. First, you have to believe you're worth it.

Sue Bryce | And then set a goal for yourself and create something for yourself, something you really, really want. Something you'll show up to every single day. And when people ask how they can start believing in themselves. I always say start with setting that goal. That activates your alignment.

Sue Bryce | However, small, but with great love, alright, activate that alignment, and then give it your best. And I mean your best. When you give your best, you will certainly grow and see results because that is evidence. And when you truly believe you gave it your best. When you know in your heart and soul that you gave it your best, you can stand back and say, I believe that I gave my best.

Sue Bryce | And look. Look what I did. There's no evidence. That's how I started believing in myself. Words are powerful.

Sue Bryce | You know, words are so powerful, and to disbelieve is to reject neglect, disregard, and abandon. Those are the antonems to believe. This is by pure definition self rejection. If you choose not to believe in yourself, you're choosing to reject, neglect, disregard, and abandon yourself on a daily basis, and then wonder why everybody else in the world is doing the same thing. You know, to believe is I think I trust.

Sue Bryce | I understand. I accept. I I I affirm. I believe to think, to trust, to understand, to accept, to affirm, I believe. That is believe You've got to get past your own self rejection and start to believe in that one goal, start to believe in that one path and empower that one path to evidence to believe changes emotions, which changes your story, which changes your path.

Sue Bryce | And when you believe you're worth it and you set that goal and you give it your best and you see the return, then you activate 2 of the most powerful forces on earth, acceptance and gratitude. And these 2, they don't really get into your car. They just lift your car up. Because when you feel when you feel you want something, when you're connected, when you feel alignment, you really want something, and you align with it, and you get it. Then you accept this gift that you have asked for, and this power is gratitude.

Sue Bryce | Now people talked a lot about gratitude especially when I was struggling. And I used to always say, gratitude. I'm grateful. But truly, gratitude is something has been received. Something you really wanted.

